rnbqkb1r/pp2pppp/2p2n2/8/2pP4/1Q3N2/PP2PPPP/RNB1KB1R w KQkq - 0 5 | b3c4
rnbqkb1r/pp2pppp/2p2n2/8/2QP4/5N2/PP2PPPP/RNB1KB1R b KQkq - 0 5 | c8g4 c8f5
rn1qkb1r/pp2pppp/2p2n2/8/2QP2b1/5N2/PP2PPPP/RNB1KB1R w KQkq - 1 6 | b1d2 b1c3
rn1qkb1r/pp2pppp/2p2n2/8/2QP2b1/5N2/PP1NPPPP/R1B1KB1R b KQkq - 2 6 | e7e6 b8d7
rn1qkb1r/pp3ppp/2p1pn2/8/2QP2b1/5N2/PP1NPPPP/R1B1KB1R w KQkq - 0 7 | g2g3
rnbqkbnr/ppppp1pp/8/5p2/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2 | g2g3 c1g5 e2e4 c2c4 g1f3 b1c3
rnbqkbnr/ppppp1pp/8/5p2/3P4/6P1/PPP1PP1P/RNBQKBNR b KQkq - 0 2 | g8f6
rnbqkb1r/ppppp1pp/5n2/5p2/3P4/6P1/PPP1PP1P/RNBQKBNR w KQkq - 1 3 | f1g2
rnbqkb1r/ppppp1pp/5n2/5p2/3P4/6P1/PPP1PPBP/RNBQK1NR b KQkq - 2 3 | e7e6 g7g6 d7d6
rnbqkb1r/pppp2pp/4pn2/5p2/3P4/6P1/PPP1PPBP/RNBQK1NR w KQkq - 0 4 | c2c4
rnbqkb1r/pppp2pp/4pn2/5p2/2PP4/6P1/PP2PPBP/RNBQK1NR b KQkq - 0 4 | c7c6
rnbqkb1r/pp1p2pp/2p1pn2/5p2/2PP4/6P1/PP2PPBP/RNBQK1NR w KQkq - 0 5 | g1f3 d1c2
rnbqkb1r/pp1p2pp/2p1pn2/5p2/2PP4/5NP1/PP2PPBP/RNBQK2R b KQkq - 1 5 | d7d5
rnbqkb1r/pp4pp/2p1pn2/3p1p2/2PP4/5NP1/PP2PPBP/RNBQK2R w KQkq - 0 6 | e1g1
rnbqkb1r/pp4pp/2p1pn2/3p1p2/2PP4/5NP1/PP2PPBP/RNBQ1RK1 b kq - 1 6 | f8d6
rnbqk2r/pp4pp/2pbpn2/3p1p2/2PP4/5NP1/PP2PPBP/RNBQ1RK1 w kq - 2 7 | b2b3
rnbqk2r/ppp2ppp/4pn2/3p4/1bPP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 5 | d1a4 c1g5 c4d5 e2e3 c1d2 d1b3
rnbqk2r/ppp2ppp/4pn2/3p4/QbPP4/2N2N2/PP2PPPP/R1B1KB1R b KQkq - 3 5 | b8c6
r1bqk2r/ppp2ppp/2n1pn2/3p4/QbPP4/2N2N2/PP2PPPP/R1B1KB1R w KQkq - 4 6 | e2e3 c1g5 f3e5
r1bqk2r/ppp2ppp/2n1pn2/3p4/QbPP4/2N1PN2/PP3PPP/R1B1KB1R b KQkq - 0 6 | e8g8
r1bq1rk1/ppp2ppp/2n1pn2/3p4/QbPP4/2N1PN2/PP3PPP/R1B1KB1R w KQ - 1 7 | a4c2 c1d2
r1bqk2r/1pppbppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQR1K1 b kq - 5 6 | b7b5 d7d6
r1bqk2r/2ppbppp/p1n2n2/1p2p3/B3P3/5N2/PPPP1PPP/RNBQR1K1 w kq - 0 7 | a4b3
rnbqkb1r/pppppppp/5n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 1 2 | g2g3 b1c3 d2d4 g1f3
rnbqkb1r/pppppppp/5n2/8/2P5/6P1/PP1PPP1P/RNBQKBNR b KQkq - 0 2 | g7g6 c7c5 e7e6 e7e5 c7c6
rnbqkb1r/pppppp1p/5np1/8/2P5/6P1/PP1PPP1P/RNBQKBNR w KQkq - 0 3 | f1g2
rnbqkb1r/pppppp1p/5np1/8/2P5/6P1/PP1PPPBP/RNBQK1NR b KQkq - 1 3 | c7c5 d7d5 f8g7
rnbqkb1r/pp1ppp1p/5np1/2p5/2P5/6P1/PP1PPPBP/RNBQK1NR w KQkq - 0 4 | b1c3
rnbqkb1r/pp1ppp1p/5np1/2p5/2P5/2N3P1/PP1PPPBP/R1BQK1NR b KQkq - 1 4 | f8g7
rnbqk2r/pp1pppbp/5np1/2p5/2P5/2N3P1/PP1PPPBP/R1BQK1NR w KQkq - 2 5 | g1f3
